"filename", "language", "JavaScript", "JSON", "CSS", "XML", "Markdown", "HTTP", "HTML", "comment", "blank", "total"
"d:\GitHub\ThaiEggHead\server\models\User.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 4, 8, 110
"d:\GitHub\ThaiEggHead\server\models\imgfile.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\GitHub\ThaiEggHead\server\models\mulitipleFileSchema.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 1, 6, 50
"d:\GitHub\ThaiEggHead\server\package-lock.json", "JSON", 0, 5259, 0, 0, 0, 0, 0, 0, 1, 5260
"d:\GitHub\ThaiEggHead\server\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"d:\GitHub\ThaiEggHead\server\routes\AnswerRouter.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\GitHub\ThaiEggHead\server\routes\CommentRouter.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\GitHub\ThaiEggHead\server\routes\ForumRouter.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\GitHub\ThaiEggHead\server\routes\UserRouter.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\GitHub\ThaiEggHead\server\routes\_ForumRouter.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\GitHub\ThaiEggHead\server\server.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 11, 11, 57
"d:\GitHub\ThaiEggHead\server\temp\TestIdenticon.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 5, 6, 24
"d:\GitHub\ThaiEggHead\server\util\jwt-passport.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 5, 4, 44
"d:\GitHub\ThaiEggHead\server\util\util.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 6, 6, 49
"Total", "-", 5442, 57879, 914, 1, 38, 106, 34, 420, 909, 65743
